,Name,Price,Rating,Link
27,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),171,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive-ebook/dp/B019MMUA8S/ref=sr_1_28?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-28
28,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",179,4.4 out of 5 stars,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=sr_1_29?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-29
29,The Rudest Book Ever,180.,4.4 out of 5 stars,https://www.amazon.in/Rudest-Book-Ever-Shwetabh-Gagwar-ebook/dp/B0BJ98D643/ref=sr_1_30?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-30
30,War Of Lanka (Ram Chandra Series Book 4),279.,4.3 out of 5 stars,https://www.amazon.in/War-Lanka-Ram-Chandra-Book-ebook/dp/B0B7J9THC7/ref=sr_1_31?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-31
31,3D Magic Book (Best Birthday Gift or Return Gift),149,5.0 out of 5 stars,https://www.amazon.in/Magic-Book-Best-Birthday-Return/dp/B0BLKNHPKP/ref=sr_1_32?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-32
32,Master English Grammar Like A Pro: The Best & Complete Grammar Rules And Structures Book For Beginners And Advanced English Learners So You Can Unlock And Understand English Like A Native Speaker.,0,4.6 out of 5 stars,https://www.amazon.in/Master-English-Grammar-Like-Pro-ebook/dp/B0BMYB4QBX/ref=sr_1_33?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-33
33,Rashtriya Military School (RMS-CET) Class 6 Practice Set Preparation Book for Entrance Exam 2023 (English Medium),270,0.0 out of 5 stars,https://www.amazon.in/Rashtriya-Military-Practice-Preparation-Entrance/dp/9390886899/ref=sr_1_34?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-34
34,Rescue Book (રેસ્ક્યુ બુક) - Dr. Nimitt Oza,235,0.0 out of 5 stars,https://www.amazon.in/Rescue-Book-%E0%AA%B0%E0%AB%87%E0%AA%B8%E0%AB%8D%E0%AA%95%E0%AB%8D%E0%AA%AF%E0%AB%81-%E0%AA%AC%E0%AB%81%E0%AA%95-Nimitt/dp/9392592361/ref=sr_1_35?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-35
35,Sahitya Bhawan | Pratiyogita Sahitya book for Samanya Prabandhan,195,0.0 out of 5 stars,https://www.amazon.in/Sahitya-Bhawan-Pratiyogita-Samanya-Prabandhan/dp/9391565565/ref=sr_1_36?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-36
36,The Kids' Book of Friends: How to Make Friends and Be a Friend,0,5.0 out of 5 stars,https://www.amazon.in/Kids-Book-Friends-Make-Friend-ebook/dp/B0BMXWZWRV/ref=sr_1_37?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-37
37,ONE TOUCH Pharmacology for NEET/NEXT/FMGE/INI-CET (PB- 2022),499,0.0 out of 5 stars,https://www.amazon.in/TOUCH-Pharmacology-NEET-NEXT-INI-CET/dp/9390619696/ref=sr_1_38?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-38
38,My First Experiences Sticker Book: My first sticker books,133,4.3 out of 5 stars,https://www.amazon.in/My-First-Experiences-Sticker-Book/dp/9388369815/ref=sr_1_39?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-39
39,Picture Books Collection for Early Learning (Set of 12),221,4.3 out of 5 stars,https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=sr_1_40?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-40
40,My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,159,4.3 out of 5 stars,https://www.amazon.in/First-Alphabet-Numbers-Colours-Shapes/dp/9387779564/ref=sr_1_41?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-41
41,The Book Thief: TikTok made me buy it! The life-affirming international bestseller,256.,4.6 out of 5 stars,https://www.amazon.in/Book-Thief-10th-Anniversary-ebook/dp/B01B2DJKHC/ref=sr_1_42?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-42
42,Encyclopedia: Amazing Questions & Answers Science,159,4.5 out of 5 stars,https://www.amazon.in/Amazing-Question-Answers-Science-Editorial/dp/9352763068/ref=sr_1_43?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-43
43,Tippu Nija Kanasugalu,147,5.0 out of 5 stars,https://www.amazon.in/Tippu-Nija-Kanasugalu-Addanda-Cariappa/dp/B0BMTBLCYS/ref=sr_1_44?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-44
44,Wise and Otherwise: A salute to Life,185,4.6 out of 5 stars,https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=sr_1_45?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-45
45,1000+ Most Important Current Affairs MCQs for 2022-2023 by Dr. Gaurav Garg | Current Affairs Book Jan-Oct 2022,249,0.0 out of 5 stars,https://www.amazon.in/Important-Current-Affairs-2022-2023-Jan-Oct/dp/B0BN8T546P/ref=sr_1_46?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-46
46,101 Panchatantra Stories for Children: Colourful Illustrated Story book,144,4.5 out of 5 stars,https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=sr_1_47?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-47
47,Spoken English Guru Practice Exercises Book (Basic to Advance Level - English Grammar & Spoken English Topics Practice),280,4.8 out of 5 stars,https://www.amazon.in/Spoken-English-Practice-Exercises-Advance/dp/8195757405/ref=sr_1_48?keywords=books&qid=1669650944&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-48
