,Name,Price,Rating,Link
52,"Acer One 14 Business Laptop AMD Ryzen 5 3500U Processor (16GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home/MS Office) Z2-493 with 35.56 cm (14.0"") HD Display (Rose Gold)","39,990",3.0 out of 5 stars,https://www.amazon.in/Acer-Business-Processor-Graphics-Z2-493/dp/B0BD8GFFVL/ref=sr_1_53?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-53
53,"Lenovo ThinkBook 15 AMD Ryzen 3 5300U 15.6"" (39.62cm) FHD 220 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 21A4A09TIH","36,990",4.1 out of 5 stars,https://www.amazon.in/Lenovo-ThinkBook-39-62cm-Antiglare-21A4A09TIH/dp/B0B1DJS5PN/ref=sr_1_54?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-54
54,"ASUS Vivobook 15, 15.6-inch (39.62 cms) FHD, AMD Ryzen 5 3500U, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), M515DA-BQ512WS, Transparent Silver","40,018",4.1 out of 5 stars,https://www.amazon.in/ASUS-15-6-inch-Integrated-M515DA-BQ512WS-Transparent/dp/B09W9XYK47/ref=sr_1_55?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-55
55,"RedmiBook Pro Intel Core i5 11th Gen H Series 15.6-inch(39.62 cm) Thin and Light Laptop (8GB/512 GB SSD/Windows 11) (Charcoal Gray, 1.8 kg, with MS Office'21)","44,990",3.9 out of 5 stars,https://www.amazon.in/Redmi-15-6-inch-Laptop-Windows-Charcoal/dp/B09L53YH86/ref=sr_1_56?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-56
56,"ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thin and Light Laptop (14 inch, Transparent Silver, 1.60 kg, with MS Office)","39,990",0.0 out of 5 stars,https://www.amazon.in/ASUS-VivoBook-Ryzen-Quad-R5-3500U/dp/B0BLK7ML9B/ref=sr_1_57?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-57
57,"(Renewed) ASUS VivoBook 14 (2021), 14-inch (35.56 cm) HD, Intel Core i3-1005G1 10th Gen, Thin and Light Laptop (8GB/1TB HDD/Windows 11/Integrated Graphics/Grey/1.6 kg), X415JA-BV301W","24,984",1.7 out of 5 stars,https://www.amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV301W/dp/B09XKJF7GT/ref=sr_1_58?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-58
58,"ASUS Intel VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Laptop (15.6 inches, Transparent Silver, 1.80 kg)","31,390",2.8 out of 5 stars,https://www.amazon.in/ASUS-Intel-VivoBook-Core-10th/dp/B0B48KGMZD/ref=sr_1_59?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-59
59,"ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L713WS Thin and Light Laptop (15.6 Inch, Transparent Silver, 1.80 Kg, with MS Office)","66,990",0.0 out of 5 stars,https://www.amazon.in/ASUS-VivoBook-OLED-Ryzen-R7-5700U/dp/B0BLVQTS44/ref=sr_1_60?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-60
60,"ASUS Vivobook S15 OLED 2022, 15.6"" 39.62 cm FHD OLED, Intel Core Evo i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Grey/1.8 kg), K3502ZA-L501WS","74,990",4.4 out of 5 stars,https://www.amazon.in/ASUS-Vivobook-Intel-Core-Evo-i5-12500H-K3502ZA-L501WS/dp/B09YHF7WHL/ref=sr_1_61?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-61
61,"HP 14s, Ryzen 5-5500U 16GB RAM/512GB SSD 14-inches (35.6 cm) FHD, IPS, Micro-Edge Display/AMD Radeon Graphics/Alexa/Win 11/Backlit KB/Dual Speakers/MSO 2021/1.46 Kg, 14s- fy1003AU , Windows 11 Home","54,990",4.2 out of 5 stars,https://www.amazon.in/HP-14-inches-Micro-Edge-14s-fy1003AU/dp/B0B58VN76J/ref=sr_1_62?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-62
